video_id,category,duration_sec,views,title
SNAudJ6k17I,25,1011,35591,合計しても５％。中道「クラファン」１万人で勝利宣言の「政治と金」。ナフサ専門家「完全敗北」。「７月」以降にゴールポストを動かした。２円が３円になって大騒ぎ「報道特集」｜【ライブ・切り取り】#1242
WC7dC2wFvMA,25,48,42562,英国防省発表　ロシア軍戦闘機、英偵察機の前方６メートルを横切る…４月、黒海上空の国際空域で
fgcYjB9F6d0,25,647,55939,紛失防止タグ悪用か　ストーカー容疑で自称シャボン玉師の男逮捕　【ぎゅっと】（2026年5月27日OA）
g-440pOexAk,25,808,22660,● 三峡ダム ●【速報】たった今！上流の烏江に「特大暴雨」警報が  2026-05-28  中国の最新情報 ライブ  今すぐ崩壊するわけではないが.. 3兆円をかけた巨大プロジェクトの行末
fwM2on7cLTs,25,407,59122,[Breaking News:これが中国] 河南省で食中毒発生！被害者70万人
d8eQ22mMCCI,25,2062,49063,（2026.5.21）【韓国ニュース解説】李在明ネタニヤフ逮捕ほのめかす、そんなバカな、そんなことできる？サムソン事態一旦収まるもさらなる深刻な事態へ、赴任予定の米国韓国大使は反共反李在明
CF9rB-B5UKQ,25,803,28993,【朗報】英国が日本の圧力に屈した！日英伊次期戦闘機にイギリスが1.2兆円拠出！日本外交に強さが戻ってきた！【光岡かつみの政経社会】
tFuyq24sZWo,26,55,3129588,暗金ウシジマくん外伝 暗金ウシジマさん — 闇金の女王、降臨 🔥
QqXwYmjBl5E,26,51,2732875,この隣人、本当にヒーローだった
o3hCrzIq3zw,26,18,1720016,筋トレマニアたちの真の義理
urEemNrnink,26,26,3149510,ニワトリ一羽分でジンバル買う方法
Q8g6943fwnA,26,39,2556941,客室乗務員のアナウンスで機内が涙に包まれた理由
qcK12wa--es,26,60,2964407,親友の家にビーズぶちまけまくってみた
inXPjn7Dpp8,26,27,874210,19歳の猫と暮らす飼い主。あの日、尻尾が動かなかった。
p9CrRt5tdbE,26,20,1374553,【DQN】シ。社会の厳しさを知ったバイカスについて#dqn #バイク #スカッと
c9iPfaKBrCA,26,26,4218727,道路で強い振動が起こる理由
-bjJk_b_sRk,26,16,2780084,自分の結末を悟った選手の最後の表情
CC2isV4jU60,26,56,1222957,未知の料理に挑戦するお母さん
9xpMeJEJTyc,26,25,3571027,こういう時どうすればいいの😱#すごい #日本 #車 #自転車
AyDmfqZcqXY,26,94,1536110,【保護猫詐欺】保護活動を装い、善意のお金を騙し取る女を直撃
iAbyg4VkesE,26,14,1402351,片想いが終わって恋が始まる瞬間
4SrktIIC-zM,26,26,1174823,川辺で遊んでいた子供を急いで追い出した理由
zkuSKzqLQPs,26,11,1297629,隣を見たら…🛀｜PECO
2_vGifyjQ1w,26,38,2543721,日本に旅行に来た、海外っ子の日本語が可愛いベスト4
tCYqE7tQGG4,26,38,2642974,想定外の中国の日常
r7V9xO5tPS4,26,41,3326138,スピードバク転の衝撃の裏側
CjKoit5aQF0,26,35,862436,【答えは明白】これはどっちが幸せ？【2ch面白いスレ】
MTMrPec7MVg,26,11,1078100,昔サッカーやってた船頭にボールが飛んできた
y9zCTcthc9w,26,34,1850007,空ぶかしでイキってたらおじさんにキレられる
Uj_IA3C73J4,26,51,1332909,上司のシャケ弁当でお寿司を作りました！！！
XfXaj3P2u1Y,26,13,3317297,100回に1回成功しそう　#youtube #shorts #youtubeshorts #おすすめ #おもしろ #面白い #アート #art #すごい #神業 #絵 #イラスト #バズれ #草
eaTVZwu13fI,26,25,995317,壁ギリギリで曲がります｜イタリアラリー
w4Dm2dT02VU,26,15,1015248,ドラマ撮影の裏側が凄すぎるw#すごい #感動 #映画 #shorts
yROdlbsBZKI,26,10,1060693,今日ついに写真集発売日です！！みんなのお陰でまた貴重経験をさせて頂きました。ありがとうございました！！
ae4CzCFs3F0,26,36,761213,【賛否】本上まなみ「通報は正しい」阿部慎之助の娘の児相通報に断言した理由が衝撃
PKRTiJpXQQo,26,25,2135621,桜島が爆発しました・・・
9lORCrm2dN8,26,19,2997951,氷鬼で引くほどガチで凍る人 #shorts
oi_GCo3J0A8,26,11,519574,私の爪じゃなかったの？大どんでん返しありｗｗ #ネイルアート #ネイル #サンダル
FN88YfbEoho,26,13,3471983,アイス屋バイトの裏ルール   #バイトあるある #アイスクリーム屋 #試食 #接客業 #バイトの本音
fEpEuI7PCW8,26,36,4575455,フランスのチーズ転がしチャレンジ
43GPeCOrhCY,26,39,652735,アジア人っぽい食生活の子供たちに悩むママ
pHXWAFhr6_k,26,21,982977,史上最強の全治3週間モーメントTOP5
